trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
O,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.1,100,rbf,5,8424,TRUE,"(2, 3)",english,-0.027279563
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
C,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.01,100,rbf,5,8424,TRUE,"(2, 3)",,0.096638989
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
E,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",1,0.001,linear,5,8424,TRUE,"(1, 2)",english,0.137189094
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
A,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",0.01,100,rbf,5,8424,TRUE,"(2, 3)",english,0.231294505
trait,estimator,clf__C,clf__gamma,clf__kernel,svd__n_components,svd__random_state,tfidf__use_idf,vect__ngram_range,vect__stop_words,r
N,"SVR(C=1.0, cache_size=200, coef0=0.0, degree=3, epsilon=0.1,
  gamma='auto_deprecated', kernel='rbf', max_iter=-1, shrinking=True,
  tol=0.001, verbose=False)",1,0.001,linear,5,8424,TRUE,"(1, 2)",english,0.150569594